iter	RMSE
0	5.688996747
1	5.534094082
2	5.382722588
3	5.236082154
4	5.094068358
5	4.957345877
6	4.825703334
7	4.696549139
8	4.571689373
9	4.451140549
10	4.335284801
11	4.222574178
12	4.113180866
13	4.008022455
14	3.905498643
15	3.806834706
16	3.711579314
17	3.619161091
18	3.529948692
19	3.443866563
20	3.361198278
21	3.281216217
22	3.203804165
23	3.128878441
24	3.057350514
25	2.987544922
26	2.920621721
27	2.856320293
28	2.793652438
29	2.733819324
30	2.675836164
31	2.620624859
32	2.567159327
33	2.51569891
34	2.466502073
35	2.418774306
36	2.373161793
37	2.329249676
38	2.287056183
39	2.246636043
40	2.208036298
41	2.170626392
42	2.134499659
43	2.100006435
44	2.067702846
45	2.036743425
46	2.006336667
47	1.97735491
48	1.949618293
49	1.923577052
50	1.898500008
51	1.874067815
52	1.851157491
53	1.82927108
54	1.80867607
55	1.788816997
56	1.769735627
57	1.752223962
58	1.735371122
59	1.719252755
60	1.703397961
61	1.688568158
62	1.673855507
63	1.660155968
64	1.647630452
65	1.635172486
66	1.623081749
67	1.611316807
68	1.600307973
69	1.590469558
70	1.579864392
71	1.570177446
72	1.561301245
73	1.552547222
74	1.544237344
75	1.53623578
76	1.528977088
77	1.521337051
78	1.514659859
79	1.508044811
80	1.501584674
81	1.496024035
82	1.490279806
83	1.485159723
84	1.479770372
85	1.474766718
86	1.469879293
87	1.465604812
88	1.461254422
89	1.457186166
90	1.453012291
91	1.448513673
92	1.445205899
93	1.441776215
94	1.43823958
95	1.435232801
96	1.43250168
97	1.429742924
98	1.426555273
99	1.423746123
100	1.420387722
101	1.417869734
102	1.415012164
103	1.412118252
104	1.409186544
105	1.406894801
106	1.404677132
107	1.402677053
108	1.400473398
109	1.396195104
110	1.393932664
111	1.391723602
112	1.390226902
113	1.388046102
114	1.38603445
115	1.383792192
116	1.381121268
117	1.379236933
118	1.376786769
119	1.374461514
120	1.372065533
121	1.370394403
122	1.368509315
123	1.366395362
124	1.364717438
125	1.36273046
126	1.361014169
127	1.359894569
128	1.357796344
129	1.356445981
130	1.355305889
131	1.353605643
132	1.352636998
133	1.351550186
134	1.350125628
135	1.347903669
136	1.345761546
137	1.344164038
138	1.342581605
139	1.341209172
140	1.338604716
141	1.33758357
